YEAR_,STARTDATED,CONTRDATED,STATE,DLATITUDE,DLONGITUDE,TOTALACRES
2005,5/9/2005,5/9/2005,North Carolina,35.45527778000,-83.75138889000,22.00000000000
2005,5/10/2005,5/11/2005,South Carolina,33.35027778000,-81.70416667000,5.00000000000
2005,5/11/2005,5/11/2005,North Carolina,34.96666667000,-76.96666667000,0.10000000000
2005,5/11/2005,5/11/2005,North Carolina,35.06083333000,-83.16638889000,1.50000000000
2005,5/12/2005,5/14/2005,North Carolina,36.38540000000,-81.16730000000,26.00000000000
2005,5/13/2005,5/13/2005,Tennessee,35.30166667000,-84.23055556000,1.00000000000
2005,5/13/2005,5/13/2005,Tennessee,35.28583333000,-84.13694444000,3.00000000000
2005,5/13/2005,5/13/2005,Tennessee,35.28944444000,-84.20611111000,4.00000000000
2005,5/13/2005,5/13/2005,Tennessee,35.28500000000,-84.13388889000,8.00000000000
2005,5/14/2005,5/14/2005,Tennessee,35.23000000000,-84.36111111000,25.00000000000
2005,5/14/2005,5/14/2005,Tennessee,35.22361111000,-84.36277778000,41.00000000000
2005,5/16/2005,5/16/2005,South Carolina,34.61917000000,-80.28361000000,0.50000000000
2005,5/19/2005,5/19/2005,South Carolina,35.12030000000,-81.41390000000,2.10000000000
2005,5/27/2005,5/27/2005,North Carolina,34.93222000000,-76.37500000000,0.50000000000
2005,5/27/2005,5/27/2005,North Carolina,34.93222000000,-76.37500000000,0.50000000000
2005,5/28/2005,5/29/2005,Virginia,37.76027778000,-80.20194444000,2.50000000000
2005,5/29/2005,5/29/2005,North Carolina,35.63278000000,-75.73778000000,177.00000000000
2005,6/10/2005,6/10/2005,North Carolina,34.93306000000,-76.36750000000,0.50000000000
2005,6/14/2005,6/18/2005,Virginia,38.18194444000,-79.84444444000,7.60000000000
2005,6/15/2005,6/15/2005,North Carolina,34.93333000000,-76.37500000000,0.50000000000
2005,6/21/2005,6/22/2005,South Carolina,34.56583000000,-80.23250000000,65.00000000000
2005,6/24/2005,6/24/2005,North Carolina,34.93820000000,-76.34639000000,1.00000000000
2005,6/25/2005,6/25/2005,Tennessee,35.13813000000,-88.36083000000,0.10000000000
2005,7/1/2005,7/1/2005,North Carolina,35.76028000000,-75.76861000000,1.00000000000
2005,7/2/2005,7/2/2005,Tennessee,35.67778000000,-88.02483000000,1.00000000000
2005,7/14/2005,7/14/2005,North Carolina,35.78166667000,-81.92916667000,0.10000000000
2005,7/16/2005,7/16/2005,North Carolina,34.93194000000,-76.37500000000,1.00000000000
2005,7/28/2005,7/28/2005,South Carolina,33.37000000000,-81.74555556000,0.10000000000
2005,7/28/2005,7/28/2005,North Carolina,34.93194000000,-76.37500000000,0.50000000000
2005,7/28/2005,8/1/2005,South Carolina,33.35888889000,-79.87138889000,23.30000000000
2005,8/5/2005,8/17/2005,Virginia,37.50333333000,-79.65750000000,33.00000000000
2005,8/25/2005,8/25/2005,North Carolina,35.89583000000,-75.96667000000,0.10000000000
2005,8/25/2005,8/25/2005,Tennessee,36.10080000000,-84.71750000000,0.10000000000
2005,8/28/2005,8/28/2005,North Carolina,35.24640000000,-75.53360000000,0.20000000000
2005,9/5/2005,9/5/2005,Tennessee,35.33138889000,-84.42500000000,0.10000000000
2005,9/6/2005,9/6/2005,North Carolina,35.80010000000,-75.80900000000,0.30000000000
2005,9/8/2005,9/8/2005,South Carolina,33.16694444000,-81.63333333000,1.00000000000
2005,9/10/2005,9/10/2005,North Carolina,35.07385000000,-80.04731000000,20.00000000000
2005,9/11/2005,9/11/2005,Virginia,38.99670000000,-77.25390000000,0.10000000000
2005,9/11/2005,9/11/2005,Tennessee,36.08222222000,-82.41611111000,1.00000000000
2005,9/11/2005,9/14/2005,Tennessee,36.06805556000,-82.42000000000,90.00000000000
2005,9/12/2005,9/12/2005,North Carolina,36.07777778000,-82.39750000000,1.00000000000
2005,9/12/2005,9/12/2005,North Carolina,35.42194444000,-83.42194444000,1.00000000000
2005,9/13/2005,9/13/2005,Tennessee,36.19333333000,-82.12527778000,0.25000000000
2005,9/13/2005,9/13/2005,North Carolina,35.95300000000,-75.82300000000,1.50000000000
2005,9/13/2005,9/15/2005,Tennessee,35.95000000000,-83.01694444000,85.00000000000
2005,9/14/2005,9/14/2005,North Carolina,35.48700000000,-83.30820000000,0.30000000000
2005,9/15/2005,9/15/2005,North Carolina,35.48340000000,-83.23320000000,0.10000000000
2005,9/17/2005,9/17/2005,South Carolina,33.00166667000,-79.74666667000,0.25000000000
2005,9/18/2005,9/18/2005,Virginia,37.47196000000,-79.64264100000,0.30000000000
2005,9/19/2005,9/22/2005,North Carolina,36.50833000000,-76.51389000000,0.10000000000
2005,9/19/2005,9/19/2005,Virginia,37.41030000000,-77.24530000000,1.00000000000
2005,9/19/2005,9/24/2005,Tennessee,36.27722222000,-82.13500000000,33.00000000000
2005,9/20/2005,9/21/2005,Virginia,37.14944444000,-82.62444444000,0.75000000000
2005,9/20/2005,9/20/2005,South Carolina,33.42277778000,-81.58500000000,2.00000000000
2005,9/21/2005,9/21/2005,North Carolina,34.75083333000,-76.98527778000,3.00000000000
2005,9/21/2005,9/22/2005,Virginia,38.85000000000,-78.35305556000,7.00000000000
2005,9/22/2005,9/22/2005,North Carolina,35.42510000000,-83.33100000000,1.00000000000
2005,9/22/2005,9/24/2005,Tennessee,36.26388889000,-82.00972222000,1.00000000000
2005,9/22/2005,9/23/2005,Virginia,36.79694444000,-82.80833333000,2.00000000000
2005,9/24/2005,9/25/2005,Tennessee,35.72441600000,-83.51943400000,1.00000000000
2005,9/24/2005,9/25/2005,Tennessee,35.26777778000,-84.47277778000,32.00000000000
2005,9/25/2005,9/27/2005,Tennessee,36.30583333000,-82.11333333000,1.00000000000
2005,9/28/2005,9/28/2005,South Carolina,33.15972222000,-79.84361111000,0.10000000000
2005,9/30/2005,10/1/2005,South Carolina,34.40166667000,-81.57111111000,0.80000000000
2005,10/1/2005,10/1/2005,Virginia,38.55333333000,-79.00666667000,0.10000000000
2005,10/4/2005,10/4/2005,North Carolina,34.76527778000,-76.86833333000,1.00000000000
2005,10/26/2005,10/26/2005,North Carolina,35.69120000000,-76.52540000000,0.10000000000
2005,10/28/2005,10/28/2005,North Carolina,35.18944444000,-84.15138889000,1.50000000000
2005,10/31/2005,10/31/2005,North Carolina,35.29361111000,-83.83972222000,0.25000000000
2005,10/31/2005,10/31/2005,North Carolina,35.29305556000,-83.83555556000,1.00000000000
